,fit_time,score_time,test_score,train_score,model_name
0,7.772890329360962,0.20966601371765137,0.541126717587024,0.7483994554392714,linearsvc
1,6.054023504257202,0.25162482261657715,0.5335570567574572,0.7446659354010933,linearsvc
2,6.883178949356079,0.2241816520690918,0.5370067630166482,0.7472393815680805,linearsvc
3,6.061245679855347,0.21864056587219238,0.5449419150199469,0.6893463505535034,linearsvc_hinge
4,5.875401020050049,0.24148106575012207,0.5494036929634485,0.6980870924072934,linearsvc_hinge
5,6.002223014831543,0.21840143203735352,0.5357844815034845,0.6918118691138759,linearsvc_hinge
6,4.945451021194458,0.25917553901672363,0.558186994667221,0.7756714812187846,linearsvc_ovo
7,5.428984880447388,0.2382221221923828,0.5643543907303519,0.774677779197291,linearsvc_ovo
8,5.6404571533203125,0.26972246170043945,0.5446207693114007,0.785889053923574,linearsvc_ovo
9,4.191534042358398,-0.3907616138458252,0.555065301802396,0.7152861358577125,svc_rbf
10,4.136141777038574,-0.46391773223876953,0.564014036333718,0.7043013349821428,svc_rbf
11,4.217265844345093,-0.46375346183776855,0.5372739270375889,0.7195195799280165,svc_rbf
12,10.295575380325317,4.348551273345947,0.5888013128620209,0.804495433033337,svc_rbf_ovr
13,9.944134950637817,4.295416831970215,0.5757663754466471,0.805611776132667,svc_rbf_ovr
14,10.264866828918457,4.224539041519165,0.5411378720683576,0.8041058991943,svc_rbf_ovr
15,4.727094411849976,1.2195286750793457,0.4459681549309337,0.6505908578856909,svc_poly
16,4.674498081207275,1.1303701400756836,0.4281724457717983,0.6229500207519493,svc_poly
17,4.719964265823364,1.219628095626831,0.43452002618754265,0.6429743637814594,svc_poly
18,2.871718406677246,0.23354196548461914,0.5311289418146614,0.6050420798995314,sgd_hinge
19,2.8547425270080566,0.2695271968841553,0.5214875826099626,0.6181562195709287,sgd_hinge
20,2.8115923404693604,0.29177188873291016,0.47013093700245595,0.5661796806017668,sgd_hinge
21,2.8273353576660156,0.2256488800048828,0.4189392156472066,0.5287452155165908,sgd_squaredhinge
22,2.9079036712646484,0.23031926155090332,0.4362373623951924,0.5382722669168252,sgd_squaredhinge
23,2.8031835556030273,0.23566913604736328,0.45531019939629547,0.5523368362813428,sgd_squaredhinge
24,3.083599090576172,0.3177299499511719,0.5210626098365012,0.6299796550491505,sgd_logloss
25,3.1383183002471924,0.28954315185546875,0.5206844810274175,0.6107186508812297,sgd_logloss
26,3.076723337173462,0.31641697883605957,0.5090703712253186,0.6361141449321532,sgd_logloss
27,171.49149417877197,0.3393707275390625,0.5746509310853046,0.9808609023780722,catboost
28,169.34494853019714,1.623426914215088,0.590154964080315,0.9796691083514377,catboost
29,171.34407925605774,0.455350399017334,0.5878398345210883,0.9789523358467938,catboost
30,19.81971764564514,0.338573694229126,0.522675262650566,0.9744029337146817,xgb
31,19.76618266105652,0.28524351119995117,0.5382250763638019,0.9816177900083091,xgb
32,20.656099319458008,0.2864949703216553,0.5298424618925857,0.982321866238367,xgb
33,15.03680419921875,0.4220774173736572,0.51924295671425,0.9722133305650178,lightgbm
34,17.066495895385742,0.3854799270629883,0.5226818207638392,0.9730013991185237,lightgbm
35,16.742420196533203,0.3395390510559082,0.5389482074833392,0.9820721001947543,lightgbm
36,4.026382923126221,0.26090097427368164,0.4150330028386823,0.9543866636611019,decisiontree
37,4.107805967330933,0.34211277961730957,0.44168983220915725,0.9552669450015039,decisiontree
38,4.108895540237427,0.3379852771759033,0.3953973663125027,0.9511230454281229,decisiontree
39,2.4703845977783203,0.24159741401672363,0.34444650817295275,0.9346502572867873,extratree
40,2.5271852016448975,0.22908496856689453,0.37014369693897714,0.9163658362906286,extratree
41,2.4494376182556152,0.23314428329467773,0.3278306182032787,0.9311903906224137,extratree
42,3.3318679332733154,0.27037954330444336,0.44319331985757016,0.9839716360046367,extratrees
43,3.381397247314453,0.26392674446105957,0.45230884422839546,0.980323510768284,extratrees
44,3.272092342376709,0.2665843963623047,0.4430073955430558,0.9820719836602588,extratrees
45,6.3951849937438965,0.2980921268463135,0.46393738619139685,0.9839715101064923,randomforest
46,6.363845109939575,0.33509230613708496,0.4685757144719814,0.981307935420271,randomforest
47,6.3522162437438965,0.32123661041259766,0.4727591048443801,0.9820568408769651,randomforest
48,17.829426527023315,0.3097074031829834,0.4352041960465499,0.4658502177569009,adaboost
49,17.814924240112305,0.3165915012359619,0.37194692618042857,0.4051568457842252,adaboost
50,18.992574214935303,0.2766377925872803,0.39917219800709236,0.43683062481265644,adaboost
51,18.960308074951172,0.34635329246520996,0.5198636606379228,0.9704738811417549,histgradientboosting
52,18.910868644714355,0.34099340438842773,0.5173783383899037,0.9643809019501498,histgradientboosting
53,18.95404624938965,0.35799169540405273,0.5204460850231862,0.970466838611028,histgradientboosting
54,2.629507541656494,0.22572922706604004,0.4542872813906843,0.5681927751701357,passiveaggressive
55,2.5559608936309814,0.22763562202453613,0.5113902210868363,0.5984619540436286,passiveaggressive
56,2.6639914512634277,0.22751927375793457,0.4557347024752677,0.580162637029213,passiveaggressive
57,2.489424705505371,0.23573040962219238,0.5088612911459529,0.6414976421190415,ridge
58,2.370577573776245,0.24262070655822754,0.48906315698617275,0.5279732384118418,ridge
59,2.362447500228882,0.24718332290649414,0.5027107953862097,0.6356373869214553,ridge
60,2.1736958026885986,0.2203507423400879,0.3869796700069765,0.42430491980478224,gaussiannb
61,2.224893093109131,0.25257205963134766,0.3494591163819285,0.4056794675040979,gaussiannb
62,2.2285280227661133,0.24761962890625,0.35239054648910567,0.4092661233472164,gaussiannb
63,2.358391046524048,1.5863590240478516,0.43539473631313763,0.9676648743525765,kde
64,2.420447826385498,1.6206612586975098,0.44639204414771133,0.9689320233634101,kde
65,2.4826457500457764,1.5430302619934082,0.4176281517158702,0.9672408876277478,kde
66,2.3868777751922607,0.3582155704498291,0.46269569497372415,0.632636233631665,kneighbors
67,2.369933843612671,0.35990095138549805,0.47689770590769626,0.6188335640014269,kneighbors
68,2.2828822135925293,0.4201643466949463,0.44821381974868346,0.6386343811009392,kneighbors
69,6.668353080749512,0.24904704093933105,0.5647163690444866,0.9836037517230292,mlp
70,5.841672897338867,0.27048325538635254,0.5647192020688573,0.979321790222077,mlp
71,6.391815423965454,0.2196497917175293,0.5680242129453772,0.9816703379615346,mlp
72,8.950377225875854,0.22495317459106445,0.5669504131621704,0.7249022958730149,logisticregressioncv
73,8.360216856002808,0.29582858085632324,0.5686990467072697,0.7139861701256309,logisticregressioncv
74,8.895354270935059,0.22518157958984375,0.5386199993133505,0.735283181152982,logisticregressioncv
75,167.71135926246643,0.06587839126586914,0.5453031328471574,0.9704402772105591,px_xgboost
76,177.94050073623657,0.05376720428466797,0.562801159081235,0.9430567591900999,px_xgboost
77,182.58096742630005,0.045864105224609375,0.5350053291622252,0.9133464594552049,px_xgboost
78,134.72681951522827,0.43601250648498535,0.547939376429538,0.8658634060772454,px_svc
79,130.08547592163086,0.38645362854003906,0.5606363153868749,0.9761199390585211,px_svc
80,130.87115287780762,0.36757683753967285,0.5621422274622916,0.9617133084466142,px_svc
